,freq.,title,author,words,code
87,58,The Dark Flower,John Galsworthy,"['scent', 'smell', 'odour', 'fragrance', 'aromatic', 'ripe', 'perfume', 'musky', 'acrid']",2192
88,58,"The March Family Trilogy, Complete",William Dean Howells,"['pungent', 'pungency', 'odorous', 'perfume', 'fragrance', 'whiff', 'stench', 'smell', 'reek', 'bouquet', 'musty', 'scented', 'ripe', 'scent', 'waft']",3374
89,57,"Pelle the Conqueror, Complete",Martin Anderson Nexo,"['ripe', 'smell', 'scent', 'sniff', 'fragrance', 'putrid', 'aromatic', 'scented', 'stench', 'musty', 'reek', 'perfume']",7795
90,57,"The Poems of Madison Cawein, Vol. 4 of 5",Madison Cawein,"['fragrance', 'scent', 'aroma', 'perfume', 'ripe', 'musk', 'scented', 'aromatic', 'musky', 'smell', 'ripeness', 'odorous', 'bouquet']",56326
91,57,Baudelaire: His Prose and Poetry,Charles Baudelaire,"['fragrance', 'perfume', 'smell', 'odour', 'musk', 'scent', 'odorous', 'savour', 'scented', 'bouquet', 'ripe', 'putrid']",47032
92,57,The Kath?arit S?ra,Somadeva Bhatta,"['musk', 'scented', 'perfume', 'smell', 'ripe', 'fragrance', 'scent', 'reek', 'pungent']",40588
93,57,Maurice Guest,Henry Handel Richardson,"['fragrance', 'scent', 'odour', 'scented', 'ripe', 'smell', 'pungent', 'sniff', 'perfume', 'acrid']",3727
94,56,The Man of Property,John Galsworthy,"['ripeness', 'sniff', 'scented', 'perfume', 'aroma', 'fragrance', 'scent', 'ripe', 'savour', 'odour', 'reek', 'smell', 'acrid']",2559
95,56,Comedies and Errors,Henry Harland,"['fragrance', 'perfume', 'sniff', 'smell', 'odour', 'acrid', 'musty', 'scent', 'ripe', 'savour', 'scented', 'stench', 'aromatic', 'pungent', 'waft']",52701
96,56,The Torrent (Entre Naranjos),Vicente Blasco Ibanez,"['perfume', 'waft', 'smell', 'ripe', 'fragrance', 'odorous', 'bouquet', 'scent', 'sniff', 'acrid', 'scented', 'pungent', 'musty']",11674
97,56,The Insidious Dr. Fu-Manchu,Sax Rohmer,"['smell', 'perfume', 'scented', 'pungent', 'scent', 'musty', 'bouquet', 'fragrance', 'ripe']",173
98,56,King of the Khyber Rifles,Talbot Mundy,"['stink', 'smell', 'scented', 'musty', 'scent', 'sniff', 'musk', 'whiff', 'stench', 'acrid', 'perfume']",6066
99,56,Rodmoor,John Cowper Powys,"['perfume', 'scented', 'scent', 'fragrance', 'aromatic', 'smell', 'musky', 'pungent', 'odour', 'reek', 'fetid', 'musty', 'savour']",53339
100,56,L'Assommoir,Emile Zola,"['stench', 'smell', 'odorous', 'aroma', 'fetid', 'scent', 'whiff', 'bouquet', 'perfume', 'reek', 'scented', 'musk', 'sniff']",8600
101,56,The Book of Humorous Verse,Various,"['waft', 'smell', 'musty', 'ripe', 'sniff', 'whiff', 'perfume', 'scent', 'odour', 'pungent', 'fragrance', 'aromatic', 'musk']",23972
102,56,Paul the Minstrel and Other Stories,Arthur Christopher Benson,"['scent', 'smell', 'fragrance', 'waft', 'savour', 'aromatic', 'fetid', 'whiff', 'odour', 'pungent']",21536
103,55,The Ladies' Paradise,Émile Zola,"['smell', 'odour', 'musty', 'perfume', 'aroma', 'musk', 'scent', 'pungent', 'fetid', 'scented', 'bouquet', 'savour', 'ripe', 'odorous']",54687
104,55,German Classics of the Nineteenth and Twentieth Centuries,Various,"['pungency', 'smell', 'bouquet', 'perfume', 'scent', 'fragrance', 'ripe', 'musk', 'odorous', 'sniff', 'aroma', 'pungent', 'stink', 'ripeness']",30941
105,55,Collected Poems,Alfred Noyes,"['scent', 'scented', 'odour', 'perfume', 'savour', 'smell', 'musk', 'odorous', 'fragrance', 'ripe', 'pungent', 'waft']",30501
106,55,"Baree, Son of Kazan",James Oliver Curwood,"['smell', 'scent', 'sniff', 'perfume', 'aroma', 'whiff', 'scented']",4748
107,55,"Sinister Street, vol. 2",Compton Mackenzie,"['scented', 'bouquet', 'ripe', 'smell', 'scent', 'aroma', 'musty', 'pungent', 'fetid', 'reek', 'fusty', 'perfume', 'acrid', 'frowsty', 'odorous', 'musk']",33798
108,55,Villa Eden,Berthold Auerbach,"['fragrance', 'bouquet', 'pungent', 'ripe', 'perfume', 'aromatic', 'scented', 'acrid', 'aroma', 'waft', 'scent', 'smell', 'musty']",32902
109,55,Falling in Love,Grant Allen,"['smell', 'musk', 'scent', 'perfume', 'pungent', 'ripe', 'acrid', 'sniff', 'pungency', 'odorous', 'musty', 'aroma', 'fetid']",16807
110,54,The Long Roll,Mary Johnston,"['musk', 'odour', 'scented', 'fragrance', 'smell', 'ripe', 'scent', 'piney', 'bouquet', 'acrid', 'savour', 'pungent']",22066
111,54,Makers,Cory Doctorow,"['smell', 'perfume', 'musky', 'stink', 'acrid', 'ripe', 'musty', 'scented', 'scent']",34527
112,54,The Voice of the People,Ellen Glasgow,"['odorous', 'perfume', 'scent', 'musty', 'musk', 'odour', 'ripe', 'acrid', 'pungent', 'smell', 'aroma', 'ripeness', 'fragrance', 'reek', 'waft', 'savour', 'scented']",16505
113,54,The Song of Songs,Hermann Sudermann,"['fragrance', 'bouquet', 'smell', 'musty', 'aroma', 'scented', 'perfume', 'pungent', 'odour', 'malodorous', 'scent', 'reek', 'whiff', 'odorous', 'ripe']",34791
114,54,A Catechism of Familiar Things,Benziger Brothers,"['musk', 'smell', 'aromatic', 'acrid', 'perfume', 'ripeness', 'ripe', 'fragrance', 'pungent', 'scent', 'scented', 'putrid', 'odorous']",16728
115,54,An Ocean Tragedy,William Clark Russell,"['fragrance', 'scent', 'smell', 'aromatic', 'perfume', 'ripe', 'odour', 'whiff', 'acrid', 'stink', 'aroma', 'stench', 'malodorous', 'pungency']",56363
116,53,The Freelands,John Galsworthy,"['scent', 'fragrance', 'smell', 'whiff', 'perfume', 'scented', 'ripe', 'reek']",2309
