
148,60,Fraternity,John Galsworthy,"['ripe', 'scent', 'smell', 'aroma', 'whiff', 'sniff', 'reek', 'fragrance', 'odour', 'perfume', 'putrid', 'musk']",2773
149,65,"Indian Summer of a Forsyte, and In Chancery",John Galsworthy,"['scent', 'bouquet', 'perfume', 'fragrance', 'odour', 'ripe', 'aromatic', 'smell', 'savour', 'musk', 'sniff', 'scented', 'musty', 'fusty', 'whiff', 'stink', 'acrid', 'aroma', 'reek']",2594
147,69,Five Tales,John Galsworthy,"['scent', 'reek', 'waft', 'perfume', 'scented', 'smell', 'sniff', 'bouquet', 'whiff', 'savour', 'ripe', 'odour', 'fragrance', 'aromatic']",2684
150,58,The Dark Flower,John Galsworthy,"['scent', 'smell', 'odour', 'fragrance', 'aromatic', 'ripe', 'perfume', 'musky', 'acrid']",2192
152,53,The Freelands,John Galsworthy,"['scent', 'fragrance', 'smell', 'whiff', 'perfume', 'scented', 'ripe', 'reek']",2309
153,41,The Island Pharisees,John Galsworthy,"['scent', 'whiff', 'ripe', 'smell', 'aroma', 'perfume', 'odour', 'savour', 'scented', 'sniff', 'odorous', 'fragrance']",2771
154,56,The Man of Property,John Galsworthy,"['ripeness', 'sniff', 'scented', 'perfume', 'aroma', 'fragrance', 'scent', 'ripe', 'savour', 'odour', 'reek', 'smell', 'acrid']",2559
155,49,Villa Rubein et al,John Galsworthy,"['scent', 'odorous', 'aroma', 'sniff', 'smell', 'pungent', 'perfume', 'odour', 'fragrance', 'ripe', 'scented', 'musty', 'savour']",2639
156,42,Martie the Unconquered,Kathleen Norris,"['smell', 'odour', 'acrid', 'odorous', 'scented', 'perfume', 'pungent', 'musty', 'fragrance', 'musk']",4392
158,47,The Story Of Julia Page,Kathleen Norris,"['odour', 'odorous', 'reek', 'musty', 'ripe', 'smell', 'perfume', 'bouquet', 'pungent', 'scent', 'scented', 'savour', 'fragrance', 'whiff', 'acrid', 'aromatic']",4787
164,57,"The Poems of Madison Cawein, Vol. 4 of 5",Madison Cawein,"['fragrance', 'scent', 'aroma', 'perfume', 'ripe', 'musk', 'scented', 'aromatic', 'musky', 'smell', 'ripeness', 'odorous', 'bouquet']",56326
167,50,Cease firing,Mary Johnston,"['aroma', 'bouquet', 'smell', 'scented', 'perfume', 'odour', 'musty', 'fragrance', 'ripe', 'fetid', 'pungent', 'scent', 'reek', 'ripeness']",52154
170,42,The Hunters' Feast,Mayne Reid,"['fragrance', 'musky', 'odour', 'putrid', 'stench', 'musk', 'ripe', 'sniff', 'smell', 'stink', 'aromatic', 'scented', 'scent', 'fetid']",23499
175,66,Dusty Star,Olaf Baker,"['smell', 'scent', 'sniff', 'whiff', 'musk', 'ripe', 'musky', 'odour', 'scented']",32106
179,50,Under Two Flags,Ouida,"['bouquet', 'perfume', 'whiff', 'smell', 'scent', 'scented', 'aroma', 'acrid', 'odorous', 'musty', 'fragrance', 'aromatic', 'ripe', 'reek']",3465
180,70,"Wisdom, Wit, and Pathos of Ouida",Ouida,"['fragrance', 'scent', 'odour', 'perfume', 'aromatic', 'odorous', 'acrid', 'smell', 'reek', 'ripe', 'stench', 'putrid', 'whiff', 'pungent', 'scented', 'fetid']",22019
183,40,Circe's Daughter,Priscilla Craven,"['perfume', 'odour', 'whiff', 'scent', 'smell', 'bouquet', 'sniff', 'reek', 'scented', 'fragrance', 'ripe']",59347
189,65,"The Works of Rudyard Kipling, One Volume Edition",Rudyard Kipling,"['fragrance', 'smell', 'ripe', 'scent', 'fetid', 'musk', 'reek', 'savour', 'stench', 'musky', 'bouquet', 'pungent', 'scented', 'musty', 'acrid']",2334
193,42,Tales of Chinatown,Sax Rohmer,"['odour', 'smell', 'perfume', 'fusty', 'fragrance', 'musty', 'stench', 'scented', 'reek', 'ripe', 'pungency', 'acrid']",5697
194,51,Tales of Secret Egypt,Sax Rohmer,"['perfume', 'smell', 'musk', 'aromatic', 'fragrance', 'pungent', 'pungency', 'scent', 'aroma', 'ripe', 'ripeness', 'scented', 'reek', 'stench']",40108
195,56,The Insidious Dr. Fu-Manchu,Sax Rohmer,"['smell', 'perfume', 'scented', 'pungent', 'scent', 'musty', 'bouquet', 'fragrance', 'ripe']",173
201,42,The Ivory Trail,Talbot Mundy,"['musk', 'smell', 'aromatic', 'stench', 'scent', 'scented', 'waft', 'reek', 'acrid', 'sniff', 'ripe', 'stink']",5194
204,43,The Comic Poems of Thomas Hood,Thomas Hood,"['smell', 'perfume', 'fragrance', 'scent', 'waft', 'sniff', 'pungent', 'aromatic', 'whiff', 'ripe', 'musty', 'stench', 'scented', 'musk', 'savour', 'odour', 'bouquet']",56712
208,78,"The Book of The Thousand Nights And A Night, Vol. 1 of 16",Unknown,"['smell', 'sniff', 'aromatic', 'perfume', 'scented', 'musk', 'stench', 'pungency', 'ripe', 'scent', 'fragrance', 'waft', 'odour', 'musky', 'savour', 'odorous', 'pungent']",3435
209,50,"The Book of The Thousand Nights And A Night, Vol. 2 of 16",Unknown,"['savour', 'aromatic', 'perfume', 'musk', 'scented', 'reek', 'fetid', 'fragrance', 'smell', 'stench', 'scent', 'ripe', 'odour', 'stink', 'musky']",3436
210,47,"The Book of The Thousand Nights And A Night, Vol. 5 of 16",Unknown,"['musk', 'savour', 'fragrance', 'scent', 'perfume', 'scented', 'ripe', 'reek', 'smell', 'odour', 'waft', 'aromatic']",3439
211,83,"The Book of The Thousand Nights And A Night, Vol. 8 of 16",Unknown,"['sniff', 'ripe', 'musk', 'savour', 'pungency', 'scent', 'perfume', 'fragrance', 'smell', 'scented', 'reek', 'waft', 'musky', 'odour', 'aromatic']",3442
213,40,A Household Book of English Poetry,Various,"['ripe', 'reek', 'odour', 'scent', 'smell', 'perfume', 'odorous', 'ripeness', 'waft', 'fragrance', 'scented']",55496
214,51,Contemporary Belgian Poetry,Various,"['reek', 'savour', 'odour', 'ripe', 'scented', 'scent', 'fragrance', 'perfume', 'odorous', 'smell', 'aroma', 'bouquet', 'stink', 'fetid', 'waft', 'acrid', 'putrid']",35524
213,40,A Household Book of English Poetry,Various,"['ripe', 'reek', 'odour', 'scent', 'smell', 'perfume', 'odorous', 'ripeness', 'waft', 'fragrance', 'scented']",55496
217,73,Pipe and Pouch,Various,"['scent', 'fragrance', 'ripe', 'scented', 'perfume', 'waft', 'odorous', 'bouquet', 'smell', 'aroma', 'whiff', 'musk', 'acrid', 'reek', 'aromatic']",14887
218,50,Short Stories for English Courses,Various,"['aromatic', 'perfume', 'smell', 'fragrance', 'scent', 'piney', 'aroma', 'scented', 'whiff']",5403
219,46,Short Stories for High Schools,Various,"['aromatic', 'perfume', 'smell', 'fragrance', 'scent', 'piney', 'aroma', 'scented', 'whiff']",50543
220,52,The Apple,Various,"['aroma', 'aromatic', 'ripe', 'musky', 'perfume', 'smell']",31729
221,48,The Best Short Stories of 1919,Various,"['fragrance', 'smell', 'perfume', 'sniff', 'scent', 'ripe', 'whiff', 'scented', 'musty', 'reek', 'aroma', 'bouquet']",23445
222,56,The Book of Humorous Verse,Various,"['waft', 'smell', 'musty', 'ripe', 'sniff', 'whiff', 'perfume', 'scent', 'odour', 'pungent', 'fragrance', 'aromatic', 'musk']",23972
223,86,The Circle of Knowledge,Various,"['scent', 'ripe', 'aroma', 'aromatic', 'fragrance', 'scented', 'acrid', 'fetid', 'waft', 'smell', 'musk', 'perfume', 'putrid', 'bouquet', 'pungent', 'pungency', 'stench', 'odorous']",48661
224,73,The Melody of Earth,Various,"['fragrance', 'scent', 'perfume', 'odorous', 'musk', 'pungent', 'scented', 'smell', 'sniff', 'ripe', 'odour', 'aroma', 'whiff']",38438
225,83,"The Modern Scottish Minstrel, Volumes I-VI.",Various,"['ripe', 'smell', 'perfume', 'waft', 'scent', 'scented', 'fragrance', 'putrid', 'pungent', 'reek', 'odour', 'aroma']",22515
226,256,"The Project Gutenberg Edition of The French Immortals""",Various,"['scented', 'scent', 'acrid', 'smell', 'pungent', 'aroma', 'bouquet', 'aromatic', 'perfume', 'fragrance', 'ripe', 'musty', 'fetid', 'waft', 'stench', 'whiff', 'musk']",4000
227,45,"The World's Best Poetry, Volume 10",Various,"['fragrance', 'perfume', 'scent', 'aromatic', 'bouquet', 'ripe', 'smell', 'ripeness', 'waft', 'pungent', 'musk', 'odorous']",12925
228,52,Turkish Literature,Various,"['pungent', 'ripe', 'scent', 'musky', 'scented', 'perfume', 'musk', 'fragrance', 'odorous', 'waft']",56464
214,51,Contemporary Belgian Poetry,Various,"['reek', 'savour', 'odour', 'ripe', 'scented', 'scent', 'fragrance', 'perfume', 'odorous', 'smell', 'aroma', 'bouquet', 'stink', 'fetid', 'waft', 'acrid', 'putrid']",35524
215,55,German Classics of the Nineteenth and Twentieth Centuries,Various,"['pungency', 'smell', 'bouquet', 'perfume', 'scent', 'fragrance', 'ripe', 'musk', 'odorous', 'sniff', 'aroma', 'pungent', 'stink', 'ripeness']",30941
216,45,O Henry Memorial Award Prize Stories of 1919,Various,"['smell', 'perfume', 'scent', 'ripe', 'putrid', 'stink', 'pungent', 'fragrance', 'odour', 'scented', 'whiff', 'sniff', 'acrid']",12094
229,46,Mare Nostrum (Our Sea),Vicente Blasco Ibanez,"['perfume', 'acrid', 'fetid', 'bouquet', 'sniff', 'smell', 'scent', 'ripe', 'musty', 'scented', 'ripeness', 'pungent', 'fragrance']",11697
233,62,Leaves of Grass,Walt Whitman,"['perfume', 'fragrance', 'sniff', 'scented', 'scent', 'aroma', 'fetid', 'smell', 'acrid', 'aromatic', 'ripe', 'piney', 'putrid', 'odorous', 'waft']",1322
237,41,Son of Power,Will Levington Comfort and Zamin Ki Dost,"['smell', 'scent', 'perfume', 'stench', 'redolence', 'musk', 'sniff']",19970
244,59,Money,Émile Zola,"['ripe', 'scent', 'smell', 'scented', 'perfume', 'bouquet', 'odour', 'stench', 'whiff']",56987
245,61,Soil,Émile Zola,"['sniff', 'smell', 'ripe', 'scent', 'scented', 'odour', 'pungent', 'stench', 'perfume', 'fragrance', 'musk', 'reek', 'odorous', 'acrid', 'stink']",56687
246,46,The Downfall,Émile Zola,"['scent', 'smell', 'ripe', 'perfume', 'pungent', 'stench', 'putrid', 'odour', 'acrid', 'stink', 'scented']",56799
247,55,The Ladies' Paradise,Émile Zola,"['smell', 'odour', 'musty', 'perfume', 'aroma', 'musk', 'scent', 'pungent', 'fetid', 'scented', 'bouquet', 'savour', 'ripe', 'odorous']",54687
248,52,The Ladies' Paradise,Émile Zola,"['smell', 'odour', 'musty', 'ripe', 'perfume', 'aroma', 'musk', 'scent', 'pungent', 'putrid', 'fetid', 'scented', 'stench', 'savour', 'bouquet']",54726
249,67,The Rush for the Spoil,Émile Zola,"['fragrance', 'bouquet', 'perfume', 'smell', 'odour', 'ripe', 'acrid', 'aroma', 'scent', 'sniff', 'savour', 'scented', 'musk', 'pungent', 'musky']",56590
250,50,"Three Cities Trilogy: Paris, Complete",Émile Zola,"['stench', 'fetid', 'perfume', 'scent', 'aroma', 'odour', 'scented', 'acrid', 'ripe', 'smell', 'savour']",9169
