
57,102,"Directions for Cookery, in its Various Branches",Eliza Leslie,"['smell', 'ripe', 'musk', 'odour', 'perfume', 'scented', 'scent', 'aromatic']",9624
58,101,Mink Trapping,Arthur Robert Harding,"['scent', 'musk', 'smell', 'musty', 'scented', 'whiff', 'perfume']",34093
59,101,Mink Trapping,Arthur Robert Harding,"['scent', 'musk', 'smell', 'musty', 'scented', 'whiff', 'perfume']",34093
60,99,"Zoonomia, Vol. I",Erasmus Darwin,"['fragrance', 'odorous', 'smell', 'putrid', 'stench', 'odour', 'acrid', 'pungency', 'perfume', 'stink', 'scented', 'fetid']",15707
61,99,Hardy Perennials and Old Fashioned Flowers,John Wood,"['smell', 'odour', 'bouquet', 'scent', 'perfume', 'scented', 'fragrance', 'ripe', 'aromatic', 'ripeness', 'acrid']",18913
62,98,"London Labour and the London Poor, Vol. 1 of 4",Henry Mayhew,"['ripe', 'stench', 'odour', 'smell', 'savour', 'scented', 'fetid', 'perfume', 'scent', 'sniff', 'aromatic', 'musk', 'bouquet', 'pungent', 'acrid', 'fragrance', 'pungency', 'stink', 'aroma', 'fusty']",55998
64,96,Queen Anna's New World of Words,John Florio,"['ripe', 'musty', 'smell', 'perfume', 'stench', 'odour', 'whiff']",56200
65,94,Wolf and Coyote Trapping,Arthur Robert Harding,"['scent', 'piney', 'musk', 'scented', 'smell', 'fetid', 'perfume', 'sniff', 'whiff']",34501
66,93,The Young Physician,Francis Brett Young,"['smell', 'scent', 'perfume', 'odour', 'musty', 'acrid', 'savour', 'ripe', 'aromatic', 'sniff', 'scented', 'whiff', 'bouquet', 'pungent', 'fragrance', 'stink', 'frowsty']",49331
67,93,The Romance of Leonardo da Vinci,Dmitry Sergeyevich Merezhkovsky,"['waft', 'odour', 'odorous', 'perfume', 'smell', 'ripe', 'musk', 'scent', 'pungent', 'putrid', 'fetid', 'scented', 'fragrance', 'savour', 'stench', 'malodorous']",47902
68,93,Historic Highways of America (Vol. 5),Archer Butler Hulbert,"['bouquet', 'scented']",41118
69,93,Science of Trapping,Elmer Harry Kreps,"['scent', 'smell', 'scented', 'musk']",34098
70,93,Science of Trapping,Elmer Harry Kreps,"['scent', 'smell', 'scented', 'musk']",34098
